[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:09.957 INFO 25108 [] [main] .RepositoryConfigurationExtensionSupport [2m:[0;39m Spring Data Redis - Could not safely identify store assignment for repository candidate interface hqsc.ray.wcc2.repository.WccPraiseFavoriteRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:09.958 INFO 25108 [] [main] .RepositoryConfigurationExtensionSupport [2m:[0;39m Spring Data Redis - Could not safely identify store assignment for repository candidate interface hqsc.ray.wcc2.repository.WccReleaseInfoRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:09.958 INFO 25108 [] [main] .RepositoryConfigurationExtensionSupport [2m:[0;39m Spring Data Redis - Could not safely identify store assignment for repository candidate interface hqsc.ray.wcc2.repository.WccResponseDetailsRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:09.959 INFO 25108 [] [main] .RepositoryConfigurationExtensionSupport [2m:[0;39m Spring Data Redis - Could not safely identify store assignment for repository candidate interface hqsc.ray.wcc2.repository.WccTalentAuthRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:09.960 INFO 25108 [] [main] .RepositoryConfigurationExtensionSupport [2m:[0;39m Spring Data Redis - Could not safely identify store assignment for repository candidate interface hqsc.ray.wcc2.repository.WccTaskDetailRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:09.961 INFO 25108 [] [main] .RepositoryConfigurationExtensionSupport [2m:[0;39m Spring Data Redis - Could not safely identify store assignment for repository candidate interface hqsc.ray.wcc2.repository.WccUserCircleRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:09.961 INFO 25108 [] [main] .RepositoryConfigurationExtensionSupport [2m:[0;39m Spring Data Redis - Could not safely identify store assignment for repository candidate interface hqsc.ray.wcc2.repository.WccUserConcernRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:09.962 INFO 25108 [] [main] .RepositoryConfigurationExtensionSupport [2m:[0;39m Spring Data Redis - Could not safely identify store assignment for repository candidate interface hqsc.ray.wcc2.repository.WccUserMessageRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:09.963 INFO 25108 [] [main] .RepositoryConfigurationExtensionSupport [2m:[0;39m Spring Data Redis - Could not safely identify store assignment for repository candidate interface hqsc.ray.wcc2.repository.WccUserPurchasedCourseRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:09.964 INFO 25108 [] [main] .RepositoryConfigurationExtensionSupport [2m:[0;39m Spring Data Redis - Could not safely identify store assignment for repository candidate interface hqsc.ray.wcc2.repository.WccUserRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:09.964 INFO 25108 [] [main] .s.d.r.c.RepositoryConfigurationDelegate [2m:[0;39m Finished Spring Data repository scanning in 106ms. Found 0 Redis repository interfaces.
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:10.255 WARN 25108 [] [main] o.s.boot.actuate.endpoint.EndpointId     [2m:[0;39m Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:10.953 WARN 25108 [] [main] o.m.s.mapper.ClassPathMapperScanner      [2m:[0;39m No MyBatis mapper was found in '[hqsc.ray.wcc2]' package. Please check your configuration.
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:11.020 WARN 25108 [] [main] o.m.s.mapper.ClassPathMapperScanner      [2m:[0;39m No MyBatis mapper was found in '[hqsc.ray.**.mapper.**]' package. Please check your configuration.
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:11.669 INFO 25108 [] [main] o.s.cloud.context.scope.GenericScope     [2m:[0;39m BeanFactory id=94820897-1767-3a9d-9df3-20ca458fb99e
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:15.424 INFO 25108 [] [main] io.undertow.servlet                      [2m:[0;39m Initializing Spring embedded WebApplicationContext
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:15.425 INFO 25108 [] [main] w.s.c.ServletWebServerApplicationContext [2m:[0;39m Root WebApplicationContext: initialization completed in 15450 ms
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:16.587 INFO 25108 [] [main] c.a.d.s.b.a.DruidDataSourceAutoConfigure [2m:[0;39m Init DruidDataSource
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:17.901 INFO 25108 [] [main] com.alibaba.druid.pool.DruidDataSource   [2m:[0;39m {dataSource-1} inited
[ray-wcc2:192.168.101.18:20005] 2021-03-04 08:44:18.380 INFO 25108 [] [main] o.s.s.concurrent.ThreadPoolTaskExecutor  [2m:[0;39m Initializing ExecutorService 'applicationTaskExecutor'
